host_response_time,host_response_rate,host_acceptance_rate,host_identity_verified,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
within a day,1,N/A,f,Entire loft,Entire home/apt,3,1.5 baths,1,1,1434,4.95,4.71,4.95,5,4.95,5,4.86,f,0.19
N/A,N/A,N/A,t,Entire guest suite,Entire home/apt,2,1 bath,1,1,830,4.85,4.9,4.88,4.93,5,4.95,4.84,f,0.54
within an hour,1,0.9,t,Entire rental unit,Entire home/apt,6,2 baths,3,3,1469,4.57,4.82,4.71,4.92,4.92,4.58,4.71,f,0.31
N/A,N/A,N/A,t,Entire villa,Entire home/apt,2,1 bath,1,1,3658,,,,,,,,f,
within an hour,1,0.86,t,Entire home,Entire home/apt,14,5.5 baths,5,8,18000,4.58,4.56,4.7,4.87,4.78,4.98,4.48,f,0.46
within a few hours,1,0.7,t,Entire loft,Entire home/apt,2,2 baths,1,1,2561,4.87,4.9,4.71,4.91,4.85,5,4.83,f,0.7
within an hour,1,0.95,t,Entire condo,Entire home/apt,2,1 bath,1,1,650,4.87,4.95,4.88,4.98,4.94,4.75,4.79,f,0.58
within an hour,1,1,t,Private room in home,Private room,2,1 shared bath,1,1,1089,4.92,4.89,4.9,4.92,4.95,4.94,4.87,f,0.94
within an hour,1,1,t,Entire condo,Entire home/apt,2,1 bath,1,1,943,4.72,4.75,4.75,4.63,4.75,4.88,4.81,f,0.15
within a few hours,0.92,0.58,t,Entire home,Entire home/apt,16,5.5 baths,10,16,2561,4.73,4.74,4.69,4.88,4.88,4.34,4.75,f,0.95
within an hour,1,0.98,t,Entire rental unit,Entire home/apt,3,1 bath,1,2,1881,4.93,4.94,4.96,5,4.99,4.95,4.91,f,2.63
within a day,0.75,0.73,t,Entire rental unit,Entire home/apt,4,1 bath,2,2,2088,4.89,4.8,4.73,4.93,4.91,4.98,4.91,f,0.34
within an hour,1,1,t,Entire loft,Entire home/apt,2,1 bath,1,2,402,4.53,4.74,4.69,4.83,4.79,4.62,4.61,t,5.61
within a day,1,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1097,4.9,4.9,4.95,4.95,4.98,4.96,4.92,f,0.84
within an hour,0.9,0.87,t,Room in serviced apartment,Hotel room,2,1 bath,1,1,1006,4.83,4.87,4.83,5,5,4.83,4.78,t,0.18
within an hour,0.9,0.87,t,Entire serviced apartment,Entire home/apt,2,1 bath,1,1,998,4.29,4.14,4.29,4.43,4.43,4.43,4.29,f,0.06
N/A,N/A,0,t,Private room in rental unit,Private room,2,1.5 baths,1,1,726,4.75,4.6,4.2,5,4.6,4.8,4.6,f,0.04
a few days or more,0,N/A,t,Private room in home,Private room,1,1.5 baths,1,1,375,4.4,5,4.6,5,4.8,4.4,4.4,f,0.04
N/A,N/A,0,t,Private room in rental unit,Private room,2,1 bath,1,2,2835,,,,,,,,f,
within an hour,1,0.99,t,Entire loft,Entire home/apt,2,1.5 baths,1,1,3413,5,5,5,5,4.78,4.89,4.78,f,0.12
within an hour,1,0.99,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1200,4.76,4.84,4.84,4.96,4.96,4.89,4.68,f,0.77
within a few hours,1,N/A,f,Private room,Private room,2,1 private bath,1,1,1244,,,,,,,,f,
within a few hours,1,0.4,t,Tiny home,Entire home/apt,3,1 bath,2,2,817,4.91,5,4.91,5,5,5,4.82,f,0.1
N/A,N/A,N/A,t,Entire guest suite,Entire home/apt,3,1 bath,1,2,950,4.58,4.72,4.67,4.81,4.81,4.86,4.44,f,0.33
within an hour,1,1,t,Private room in home,Private room,1,1.5 baths,1,1,549,5,5,5,5,5,5,5,f,0.04
within a few hours,1,0.4,t,Entire loft,Entire home/apt,2,1 bath,1,1,672,4.89,4.89,4.78,5,5,5,4.78,f,0.08
within an hour,0.91,0.95,t,Entire rental unit,Entire home/apt,6,3 baths,3,4,2049,4.91,4.94,4.92,4.96,4.96,4.87,4.95,f,1.93
within an hour,1,1,t,Entire home,Entire home/apt,16,5 baths,5,10,3449,4.88,4.91,4.86,4.93,4.92,4.71,4.91,f,2.09
within a day,0.5,0.33,t,Private room in townhouse,Private room,2,1.5 shared baths,1,1,1543,4.97,4.94,4.97,4.98,4.96,4.96,4.95,f,1.41
within an hour,1,0.77,t,Private room in rental unit,Private room,2,1 shared bath,1,1,302,4.82,4.86,4.59,4.98,4.94,4.98,4.78,f,0.82
N/A,N/A,1,t,Private room in home,Private room,4,2.5 baths,2,4,500,4.96,4.93,4.93,4.93,4.93,4.7,4.85,f,0.25
